name,col,value,ranking_2019,ranking_2020,solo_band,genre,gender,origin,age_2021,grammy_won_2021,grammy_nom_2021,grammy_winning_rate
"The Rolling Stones",total_2020,5.94,1,34,Band,Rock,Male,England,78,3,12,0.25
"The Rolling Stones",touring_2020,0,1,34,Band,Rock,Male,England,78,3,12,0.25
"The Rolling Stones",publishing_2020,1.17,1,34,Band,Rock,Male,England,78,3,12,0.25
"The Rolling Stones",sales_2020,1.8,1,34,Band,Rock,Male,England,78,3,12,0.25
"The Rolling Stones",streaming_2020,2.97,1,34,Band,Rock,Male,England,78,3,12,0.25
"The Rolling Stones",total_2019,65,1,34,Band,Rock,Male,England,78,3,12,0.25
"The Rolling Stones",touring_2019,60.5,1,34,Band,Rock,Male,England,78,3,12,0.25
"The Rolling Stones",publishing_2019,0.8,1,34,Band,Rock,Male,England,78,3,12,0.25
"The Rolling Stones",sales_2019,1.7,1,34,Band,Rock,Male,England,78,3,12,0.25
"The Rolling Stones",streaming_2019,2,1,34,Band,Rock,Male,England,78,3,12,0.25
"Ariana Grande",total_2020,7.53,2,23,Solo,Pop,Female,USA,28,2,12,0.17
"Ariana Grande",touring_2020,0,2,23,Solo,Pop,Female,USA,28,2,12,0.17
"Ariana Grande",publishing_2020,0.76,2,23,Solo,Pop,Female,USA,28,2,12,0.17
"Ariana Grande",sales_2020,0.77,2,23,Solo,Pop,Female,USA,28,2,12,0.17
"Ariana Grande",streaming_2020,6,2,23,Solo,Pop,Female,USA,28,2,12,0.17
"Ariana Grande",total_2019,44.2,2,23,Solo,Pop,Female,USA,28,2,12,0.17
"Ariana Grande",touring_2019,33.7,2,23,Solo,Pop,Female,USA,28,2,12,0.17
"Ariana Grande",publishing_2019,1.2,2,23,Solo,Pop,Female,USA,28,2,12,0.17
"Ariana Grande",sales_2019,1.1,2,23,Solo,Pop,Female,USA,28,2,12,0.17
"Ariana Grande",streaming_2019,8.2,2,23,Solo,Pop,Female,USA,28,2,12,0.17
"Elton John",total_2019,43.31,3,NULL,Solo,Rock,Male,England,74,5,34,0.15
"Elton John",touring_2019,39.5,3,NULL,Solo,Rock,Male,England,74,5,34,0.15
"Elton John",publishing_2019,0.62,3,NULL,Solo,Rock,Male,England,74,5,34,0.15
"Elton John",sales_2019,0.99,3,NULL,Solo,Rock,Male,England,74,5,34,0.15
"Elton John",streaming_2019,2.2,3,NULL,Solo,Rock,Male,England,74,5,34,0.15
"The Jonas Brothers",total_2019,40.8,4,NULL,Band,"Pop Rock",Male,USA,32,0,2,0
"The Jonas Brothers",touring_2019,33.7,4,NULL,Band,"Pop Rock",Male,USA,32,0,2,0
"The Jonas Brothers",publishing_2019,3.8,4,NULL,Band,"Pop Rock",Male,USA,32,0,2,0
"The Jonas Brothers",sales_2019,1.2,4,NULL,Band,"Pop Rock",Male,USA,32,0,2,0
"The Jonas Brothers",streaming_2019,2.1,4,NULL,Band,"Pop Rock",Male,USA,32,0,2,0
Queen,total_2020,13.2,5,7,Band,Rock,Male,England,73,0,4,0
Queen,touring_2020,0,5,7,Band,Rock,Male,England,73,0,4,0
Queen,publishing_2020,2.4,5,7,Band,Rock,Male,England,73,0,4,0
Queen,sales_2020,5.3,5,7,Band,Rock,Male,England,73,0,4,0
Queen,streaming_2020,5.5,5,7,Band,Rock,Male,England,73,0,4,0
Queen,total_2019,35.2,5,7,Band,Rock,Male,England,73,0,4,0
Queen,touring_2019,14.4,5,7,Band,Rock,Male,England,73,0,4,0
Queen,publishing_2019,3.1,5,7,Band,Rock,Male,England,73,0,4,0
Queen,sales_2019,9.6,5,7,Band,Rock,Male,England,73,0,4,0
Queen,streaming_2019,8.1,5,7,Band,Rock,Male,England,73,0,4,0
"Post Malone",total_2020,23.21,6,2,Solo,"Hip Hop",Male,USA,26,0,9,0
"Post Malone",touring_2020,12.4,6,2,Solo,"Hip Hop",Male,USA,26,0,9,0
"Post Malone",publishing_2020,2,6,2,Solo,"Hip Hop",Male,USA,26,0,9,0
"Post Malone",sales_2020,0.71,6,2,Solo,"Hip Hop",Male,USA,26,0,9,0
"Post Malone",streaming_2020,8.1,6,2,Solo,"Hip Hop",Male,USA,26,0,9,0
"Post Malone",total_2019,34.2,6,2,Solo,"Hip Hop",Male,USA,26,0,9,0
"Post Malone",touring_2019,18.4,6,2,Solo,"Hip Hop",Male,USA,26,0,9,0
"Post Malone",publishing_2019,3.1,6,2,Solo,"Hip Hop",Male,USA,26,0,9,0
"Post Malone",sales_2019,1.4,6,2,Solo,"Hip Hop",Male,USA,26,0,9,0
"Post Malone",streaming_2019,11.3,6,2,Solo,"Hip Hop",Male,USA,26,0,9,0
P!nk,total_2019,30.54,7,NULL,Solo,Pop,Female,USA,42,3,20,0.15
P!nk,touring_2019,26.5,7,NULL,Solo,Pop,Female,USA,42,3,20,0.15
P!nk,publishing_2019,1.2,7,NULL,Solo,Pop,Female,USA,42,3,20,0.15
P!nk,sales_2019,1.04,7,NULL,Solo,Pop,Female,USA,42,3,20,0.15
P!nk,streaming_2019,1.8,7,NULL,Solo,Pop,Female,USA,42,3,20,0.15
KISS,total_2020,5.97,8,33,Band,Rock,Male,USA,66,0,1,0
KISS,touring_2020,5,8,33,Band,Rock,Male,USA,66,0,1,0
KISS,publishing_2020,0.19,8,33,Band,Rock,Male,USA,66,0,1,0
KISS,sales_2020,0.35,8,33,Band,Rock,Male,USA,66,0,1,0
KISS,streaming_2020,0.43,8,33,Band,Rock,Male,USA,66,0,1,0
KISS,total_2019,26.7,8,33,Band,Rock,Male,USA,66,0,1,0
KISS,touring_2019,25.7,8,33,Band,Rock,Male,USA,66,0,1,0
KISS,publishing_2019,0.18,8,33,Band,Rock,Male,USA,66,0,1,0
KISS,sales_2019,0.41,8,33,Band,Rock,Male,USA,66,0,1,0
KISS,streaming_2019,0.41,8,33,Band,Rock,Male,USA,66,0,1,0
"Billy Joel",total_2020,5.5,9,39,Solo,Rock,Male,USA,72,5,23,0.22
"Billy Joel",touring_2020,2.5,9,39,Solo,Rock,Male,USA,72,5,23,0.22
"Billy Joel",publishing_2020,0.99,9,39,Solo,Rock,Male,USA,72,5,23,0.22
"Billy Joel",sales_2020,0.31,9,39,Solo,Rock,Male,USA,72,5,23,0.22
"Billy Joel",streaming_2020,1.7,9,39,Solo,Rock,Male,USA,72,5,23,0.22
"Billy Joel",total_2019,26.19,9,39,Solo,Rock,Male,USA,72,5,23,0.22
"Billy Joel",touring_2019,23.2,9,39,Solo,Rock,Male,USA,72,5,23,0.22
"Billy Joel",publishing_2019,0.99,9,39,Solo,Rock,Male,USA,72,5,23,0.22
"Billy Joel",sales_2019,0.3,9,39,Solo,Rock,Male,USA,72,5,23,0.22
"Billy Joel",streaming_2019,1.7,9,39,Solo,Rock,Male,USA,72,5,23,0.22
"Justin Timberlake",total_2019,25.9,10,NULL,Solo,R&B,Male,USA,40,10,39,0.26
"Justin Timberlake",touring_2019,23.7,10,NULL,Solo,R&B,Male,USA,40,10,39,0.26
"Justin Timberlake",publishing_2019,0.53,10,NULL,Solo,R&B,Male,USA,40,10,39,0.26
"Justin Timberlake",sales_2019,0.17,10,NULL,Solo,R&B,Male,USA,40,10,39,0.26
"Justin Timberlake",streaming_2019,1.5,10,NULL,Solo,R&B,Male,USA,40,10,39,0.26
"Eric Church",total_2019,25.87,11,NULL,Solo,Country,Male,USA,44,0,10,0
"Eric Church",touring_2019,22.8,11,NULL,Solo,Country,Male,USA,44,0,10,0
"Eric Church",publishing_2019,0.93,11,NULL,Solo,Country,Male,USA,44,0,10,0
"Eric Church",sales_2019,0.44,11,NULL,Solo,Country,Male,USA,44,0,10,0
"Eric Church",streaming_2019,1.7,11,NULL,Solo,Country,Male,USA,44,0,10,0
Cher,total_2019,25.21,12,NULL,Solo,Pop,Female,USA,75,1,7,0.14
Cher,touring_2019,24.5,12,NULL,Solo,Pop,Female,USA,75,1,7,0.14
Cher,publishing_2019,0.01,12,NULL,Solo,Pop,Female,USA,75,1,7,0.14
Cher,sales_2019,0.4,12,NULL,Solo,Pop,Female,USA,75,1,7,0.14
Cher,streaming_2019,0.3,12,NULL,Solo,Pop,Female,USA,75,1,7,0.14
"Paul McCartney",total_2019,23.98,13,NULL,Solo,Rock,Male,England,79,18,79,0.23
"Paul McCartney",touring_2019,18.6,13,NULL,Solo,Rock,Male,England,79,18,79,0.23
"Paul McCartney",publishing_2019,0.78,13,NULL,Solo,Rock,Male,England,79,18,79,0.23
"Paul McCartney",sales_2019,2.3,13,NULL,Solo,Rock,Male,England,79,18,79,0.23
"Paul McCartney",streaming_2019,2.3,13,NULL,Solo,Rock,Male,England,79,18,79,0.23
"Trans-Siberian Orchestra",total_2019,22.77,14,NULL,Band,Rock,Mixed,USA,NULL,0,0,NULL
"Trans-Siberian Orchestra",touring_2019,22.2,14,NULL,Band,Rock,Mixed,USA,NULL,0,0,NULL
"Trans-Siberian Orchestra",publishing_2019,0.14,14,NULL,Band,Rock,Mixed,USA,NULL,0,0,NULL
"Trans-Siberian Orchestra",sales_2019,0.2,14,NULL,Band,Rock,Mixed,USA,NULL,0,0,NULL
"Trans-Siberian Orchestra",streaming_2019,0.23,14,NULL,Band,Rock,Mixed,USA,NULL,0,0,NULL
"George Strait",total_2020,6.91,15,26,Solo,Country,Male,USA,69,1,16,0.06
"George Strait",touring_2020,4.2,15,26,Solo,Country,Male,USA,69,1,16,0.06
"George Strait",publishing_2020,0.17,15,26,Solo,Country,Male,USA,69,1,16,0.06
"George Strait",sales_2020,0.45,15,26,Solo,Country,Male,USA,69,1,16,0.06
"George Strait",streaming_2020,2.1,15,26,Solo,Country,Male,USA,69,1,16,0.06
"George Strait",total_2019,22.2,15,26,Solo,Country,Male,USA,69,1,16,0.06
"George Strait",touring_2019,18.8,15,26,Solo,Country,Male,USA,69,1,16,0.06
"George Strait",publishing_2019,0.16,15,26,Solo,Country,Male,USA,69,1,16,0.06
"George Strait",sales_2019,0.84,15,26,Solo,Country,Male,USA,69,1,16,0.06
"George Strait",streaming_2019,2.4,15,26,Solo,Country,Male,USA,69,1,16,0.06
"Celine Dion",total_2020,17.51,16,3,Solo,Pop,Female,Canada,53,5,16,0.31
"Celine Dion",touring_2020,17,16,3,Solo,Pop,Female,Canada,53,5,16,0.31
"Celine Dion",publishing_2020,0,16,3,Solo,Pop,Female,Canada,53,5,16,0.31
"Celine Dion",sales_2020,0.22,16,3,Solo,Pop,Female,Canada,53,5,16,0.31
